Title;Issn;SJR
ICER 2016 - Proceedings of the 2016 ACM Conference on International Computing Education Research;-;499
International Journal of Occupational Medicine and Environmental Health;12321087, 1896494X;499
Journal of Agricultural and Urban Entomology;15235475;499
Journal of Aircraft;218669;499
Journal of Herpetology;221511;499
Journal of Social Work Practice;14653885, 02650533;499
Research in Mathematics Education;17540178, 14794802;499
Tijdschrift Voor Economische en Sociale Geografie;0040747X, 14679663;499
Toxicology and Industrial Health;07482337, 14770393;499
World's Poultry Science Journal;17434777, 00439339;499
Annals of Mathematics and Artificial Intelligence;15737470, 10122443;498
Bothalia;23119284, 00068241;498
International Journal of Knowledge-Based Development;20404476, 20404468;498
Manufacturing Review;22654224;498
Quality and Quantity;00335177, 15737845;498
Scandinavian Journal of Occupational Therapy;16512014, 11038128;498
Scientifica;2090908X;498
Social and Legal Studies;09646639, 14617390;498
2017 IEEE International Symposium on Dynamic Spectrum Access Networks, DySPAN 2017;-;497
Acarologia;0044586X, 21077207;497
British Journal of Religious Education;17407931, 01416200;497
Current Pharmaceutical Biotechnology;13892010, 18734316;497
Ethnobiology and Conservation;22384782;497
Forensic Science Review;10427201;497
Glass Structures and Engineering;23635150, 23635142;497
IEEE Journal on Multiscale and Multiphysics Computational Techniques;23798793;497
Innovations: Technology and Techniques in Cardiothoracic and Vascular Surgery;15569845, 15590879;497
International Journal of Agricultural and Biological Engineering;19346352, 19346344;497
Journal of Comparative Effectiveness Research;20426305, 20426313;497
Journal of Drug and Alcohol Research;20908342, 20908334;497
Journal of Polymer Research;15728935, 10229760;497
Microelectronics Reliability;262714;497
Protein Expression and Purification;10960279, 10465928;497
Revista Espanola de Documentacion Cientifica;02100614, 19884621;497
Young Consumers;17473616, 17587212;497
ZAMM Zeitschrift für Angewandte Mathematik und Mechanik;00442267, 15214001;497
Annals of Dermatology;10139087;496
Applied Mathematics and Mechanics (English Edition);02534827, 15732754;496
Clinical Nutrition Experimental;23529393;496
Computers and Composition;87554615;496
Critical Reviews in Eukaryotic Gene Expression;10454403;496
Evidence and Policy;17442648;496
Eye Tracking Research and Applications Symposium (ETRA);-;496
Folia Horticulturae;08671761, 20835965;496
IET Signal Processing;17519675, 17519683;496
Journal of Astronomical Instrumentation;22511725, 22511717;496
Journal of Extra-Corporeal Technology;221058;496
Journal of Pseudo-Differential Operators and Applications;1662999X, 16629981;496
Lecture Notes in Computational Science and Engineering;14397358;496
Studies in Political Economy;07078552, 19187033;496
Superlattices and Microstructures;10963677, 07496036;496
World Development Perspectives;24522929;496
Annals of Surgical Treatment and Research;22886575, 22886796;495
Applied Entomology and Zoology;00036862, 1347605X;495
Archives of Psychiatric Nursing;15328228, 08839417;495
Bioscience, Biotechnology and Biochemistry;09168451, 13476947;495
Cardiovascular Engineering and Technology;1869408X, 18694098;495
Cellular Reprogramming;21524998, 21524971;495
Clinical and Applied Thrombosis/Hemostasis;10760296, 19382723;495
Erwerbs-Obstbau;00140309, 14390302;495
European Journal of Entomology;12105759, 18028829;495
Health Equity;24731242;495
International Journal of Instruction;1694609X, 13081470;495
International Journal of Shipping and Transport Logistics;17566517, 17566525;495
Journal of Energy Engineering - ASCE;7339402;495
Journal of Geophysics and Engineering;17422140, 17422132;495
Journal of Historical Geography;10958614, 03057488;495
Libyan Journal of Medicine;19932820, 18196357;495
PhytoKeys;13142003, 13142011;495
Proceedings of the 2017 Design, Automation and Test in Europe, DATE 2017;-;495
Proceedings of the Geologists Association;167878;495
Sexual Medicine;20501161;495
Surface Engineering;2670844;495
Thermal Science;3549836;495
Veterinary World;22310916, 09728988;495
Acta Neurobiologiae Experimentalis;00651400, 16890035;494
African Journal of Marine Science;18142338, 1814232X;494
African Journal of Range and Forage Science;10220119, 17279380;494
Asian Economic Papers;15360083, 15353516;494
Clinical Pharmacology in Drug Development;21607648, 2160763X;494
Genetic Resources and Crop Evolution;09259864, 15735109;494
Indian Journal of Endocrinology and Metabolism;22309500, 22308210;494
International Journal of Accounting and Information Management;17589037, 18347649;494
International Journal of Cosmetic Science;01425463, 14682494;494
International Journal of Hematology-Oncology and Stem Cell Research;17351243, 20082207;494
Journal of Applied Remote Sensing;19313195;494
Journal of Cardiovascular Medicine;15582027, 15582035;494
Journal of Civil Society;17448689, 17448697;494
Journal of Cognition and Culture;15677095, 15685373;494
Journal of Geographical Systems;14355949, 14355930;494
Journal of Natural Medicines;13403443, 18610293;494
Journal of Transportation Engineering;0733947X;494
Minerals;2075163X;494
New Ideas in Psychology;0732118X;494
SAR and QSAR in Environmental Research;1029046X, 1062936X;494
Seminars in Ultrasound, CT and MRI;15585034, 08872171;494
Seton Hall law review;5865964;494
2016 IEEE International Conference on Rebooting Computing, ICRC 2016 - Conference Proceedings;-;493
Experimental Agriculture;00144797, 14694441;493
Genetica;00166707, 15736857;493
Geografiska Annaler, Series B: Human Geography;04353684, 14680467;493
International Forestry Review;14655489;493
Ionics;9477047;493
Issues in Science and Technology;7485492;493
Journal of Business Strategy;2756668;493
Journal of Infrared, Millimeter, and Terahertz Waves;18666892, 18666906;493
Journal of integrative medicine;20954964;493
Journal of Investigative Psychology and Offender Profiling;15444759, 15444767;493
Journal of Orthopaedic Surgery;10225536, 23094990;493
Library Trends;15590682, 00242594;493
Macromolecular Research;15985032;493
Materials for Renewable and Sustainable Energy;21941459, 21941467;493
Mathematical Logic Quarterly;09425616, 15213870;493
Neurologia;02134853, 15781968;493
Proceedings of the American Control Conference;7431619;493
Salamandra;363375;493
Taiwanese Journal of Obstetrics and Gynecology;10284559;493
Chinese Journal of Physics;5779073;492
Death Studies;10917683, 07481187;492
Japanese Journal of Radiology;1867108X, 18671071;492
Journal of audiology and otology;23841621, 23841710;492
Journal of Food Measurement and Characterization;21934134, 21934126;492
Journal of Veterinary Diagnostic Investigation;19434936, 10406387;492
Law, Innovation and Technology;1757997X, 17579961;492
Rare Metals;10010521, 18677185;492
Translational Pediatrics;22244344, 22244336;492
Asian Journal of Surgery;02193108, 10159584;491
Asia Pacific Management Review;10293132;491
Australasian Journal on Ageing;14406381, 17416612;491
Canadian Journal of Veterinary Research;8309000;491
Genes and Genetic Systems;13417568, 18805779;491
GeoInformatica;15737624, 13846175;491
Global Journal of Environmental Science and Management;23833866, 23833572;491
Global Knowledge, Memory and Communication;25149350, 25149342;491
Green Chemistry Letters and Reviews;17517192, 17518253;491
International Journal of Innovation Management;13639196;491
International journal of medical education;20426372;491
International Journal of Qualitative Studies on Health and Well-being;17482631, 17482623;491
"Journalism &amp; communication monographs";15226379;491
Journal of Humanistic Psychology;1552650X, 00221678;491
Journal of Mechanical Science and Technology;1738494X, 19763824;491
Journal of Micropalaeontology;0262821X, 20414978;491
Journal of Modern Optics;13623044, 09500340;491
Journal of Nonlinear Mathematical Physics;14029251, 17760852;491
Journal of Toxicology;16878205, 16878191;491
Thermophysics and Aeromechanics;8698643;491
Acta Biochimica Polonica;1734154X, 0001527X;490
American Journal of Family Therapy, The;1926187;490
Cardiology Research and Practice;20900597, 20908016;490
Clinical Schizophrenia and Related Psychoses;19351232, 19412010;490
Current Hypertension Reviews;18756506, 15734021;490
Curved and Layered Structures;23537396;490
Economic Research-Ekonomska Istrazivanja;1331677X, 18489664;490
Gastroenterology and Hepatology from Bed to Bench;20084234, 20082258;490
Geospatial health;19707096, 18271987;490
Hydrological Research Letters;18823416;490
Industrial Health;18808026, 00198366;490
Journal of Business Cycle Research;25097970, 25097962;490
Journal of Electron Spectroscopy and Related Phenomena;3682048;490
Journal of Emerging Technologies in Accounting;15541908, 15587940;490
Journal of Experimental Algorithmics;10846654;490
Journal of Human Rights and the Environment;17597188, 17597196;490
Journal of Mining Institute;25419404, 24113336;490
Journal of Spinal Cord Medicine;20457723, 10790268;490
Learning and Behavior;15434508, 15434494;490
Management (France);12864692;490
Obstetrics and Gynecology International;16879597, 16879589;490
Proceedings - 2015 International Workshop on Secure Internet of Things, SIoT 2015;-;490
Regenerative Therapy;23523204;490
Veterinary Medicine and Science;20531095;490
ACM Transactions on Applied Perception;15443965, 15443558;489
Acta Mathematica Hungarica;15882632, 02365294;489
Energy Exploration and Exploitation;1445987;489
Epidemiologia e servicos de saude : revista do Sistema Unico de Saude do Brasil;22379622, 16794974;489
Geodesy and Geodynamics;16749847;489
IEEE Wireless Communications and Networking Conference, WCNC;15253511;489
Indian Journal of Microbiology;00468991, 09737715;489
International Journal of Bio-Inspired Computation;17580374, 17580366;489
Journal of Aerospace Information Systems;23273097;489
Logistics Research;18650368, 1865035X;489
Neuroradiology Journal;23851996, 19714009;489
Nordic Journal of Digital Literacy;1891943X, 08096724;489
Przeglad Menopauzalny;16438876;489
SERIEs;18694187, 18694195;489
Sports Engineering;14602687, 13697072;489
Tohoku Journal of Experimental Medicine;13493329, 00408727;489
2017 IEEE Wireless Communications and Networking Conference Workshops, WCNCW 2017;-;488
Carpathian Journal of Mathematics;15842851, 18434401;488
Catalysis Surveys from Asia;15728803, 15711013;488
Chemotherapy;00093157, 14219794;488
Ethnopolitics;17449057;488
Impact Assessment and Project Appraisal;14615517, 14715465;488
International Sociology;02685809, 14617242;488
Journal of Contemporary Ethnography;08912416, 15525414;488
Journal of Political Power;21583803, 2158379X;488
Journal of Religion and Health;15736571, 00224197;488
Journal of Symbolic Computation;07477171, 1095855X;488
Journal of Wood Science;14350211, 16114663;488
Medical Devices: Evidence and Research;11791470;488
Medical Gas Research;20459912;488
NeuroImmunoModulation;14230216, 10217401;488
Recycling;23134321;488
Research in gerontological nursing;19382464, 19404921;488
Visual Anthropology Review;10587187, 15487458;488
China Communications;16735447;487
Composite Interfaces;09276440, 15685543;487
Criminal Justice Studies;14786028, 1478601X;487
Echocardiography;07422822, 15408175;487
Forensic Sciences Research;24711411, 20961790;487
International Journal on Document Analysis and Recognition;14332825, 14332833;487
Journal of Dynamical and Control Systems;15738698, 10792724;487
Narrative;1538974X, 10633685;487
Neuroethics;18745490, 18745504;487
Open Ophthalmology Journal;18743641;487
Permanente journal,The;15525767, 15525775;487
Planning Perspectives;02665433, 14664518;487
Proceedings of the 18th International Conference on Human-Computer Interaction with Mobile Devices and Services, MobileHCI 2016;-;487
Publishing Research Quarterly;19364792, 10538801;487
Regional Studies in Marine Science;23524855;487
Surgical and Radiologic Anatomy;09301038, 12798517;487
Topics in Language Disorders;15503259, 02718294;487
Value in Health Regional Issues;22121099, 22121102;487
Algebra Universalis;14208911, 00025240;486
Applied Spectroscopy;00037028, 19433530;486
Artificial Life;10645462, 15309185;486
Clinical Nephrology;3010430;486
Frontiers of Structural and Civil Engineering;20952430, 20952449;486
International Journal of Critical Infrastructure Protection;18745482;486
Journal of International Students;21623104, 21663750;486
Journal of Natural History;00222933, 14645262;486
Journal of Statistical Mechanics: Theory and Experiment;17425468;486
Personalized Medicine;17410541;486
Polymer Composites;02728397, 15480569;486
Risk, Hazards and Crisis in Public Policy;19444079;486
